"GEO_ID","NAME","B28011_001E","B28011_001M","B28011_001MA","B28011_001EA","B28011_002E","B28011_002M","B28011_002MA","B28011_002EA","B28011_003E","B28011_003EA","B28011_003M","B28011_003MA","B28011_004E","B28011_004EA","B28011_004M","B28011_004MA","B28011_005E","B28011_005M","B28011_005MA","B28011_005EA","B28011_006E","B28011_006M","B28011_006MA","B28011_006EA","B28011_007E","B28011_007EA","B28011_007M","B28011_007MA","B28011_008E","B28011_008EA","B28011_008M","B28011_008MA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total","Estimate!!Total!!With an Internet subscription","Margin of Error!!Total!!With an Internet subscription","Annotation of Margin of Error!!Total!!With an Internet subscription","Annotation of Estimate!!Total!!With an Internet subscription","Estimate!!Total!!With an Internet subscription!!Dial-up alone","Annotation of Estimate!!Total!!With an Internet subscription!!Dial-up alone","Margin of Error!!Total!!With an Internet subscription!!Dial-up alone","Annotation of Margin of Error!!Total!!With an Internet subscription!!Dial-up alone","Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Annotation of Estimate!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Annotation of Margin of Error!!Total!!With an Internet subscription!!Broadband such as cable, fiber optic, or DSL","Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Annotation of Margin of Error!!Total!!With an Internet subscription!!Satellite Internet service","Annotation of Estimate!!Total!!With an Internet subscription!!Satellite Internet service","Estimate!!Total!!With an Internet subscription!!Other service","Margin of Error!!Total!!With an Internet subscription!!Other service","Annotation of Margin of Error!!Total!!With an Internet subscription!!Other service","Annotation of Estimate!!Total!!With an Internet subscription!!Other service","Estimate!!Total!!Internet access without a subscription","Annotation of Estimate!!Total!!Internet access without a subscription","Margin of Error!!Total!!Internet access without a subscription","Annotation of Margin of Error!!Total!!Internet access without a subscription","Estimate!!Total!!No Internet access","Annotation of Estimate!!Total!!No Internet access","Margin of Error!!Total!!No Internet access","Annotation of Margin of Error!!Total!!No Internet access",
"1500000US060750206002","Block Group 2, Census Tract 206, San Francisco County, California","418","92","null","null","418","92","null","null","0","null","12","null","370","null","101","null","29","45","null","null","0","12","null","null","0","null","12","null","0","null","12","null",
"1500000US060750206003","Block Group 3, Census Tract 206, San Francisco County, California","459","97","null","null","445","99","null","null","0","null","12","null","417","null","97","null","0","12","null","null","0","12","null","null","14","null","21","null","0","null","12","null",
"1500000US060750206004","Block Group 4, Census Tract 206, San Francisco County, California","786","94","null","null","738","95","null","null","0","null","12","null","681","null","87","null","78","60","null","null","14","22","null","null","30","null","36","null","18","null","29","null",
"1500000US060750207001","Block Group 1, Census Tract 207, San Francisco County, California","1085","146","null","null","1032","143","null","null","0","null","12","null","908","null","154","null","19","30","null","null","30","39","null","null","0","null","12","null","53","null","51","null",
"1500000US060750207002","Block Group 2, Census Tract 207, San Francisco County, California","991","153","null","null","811","129","null","null","0","null","12","null","726","null","135","null","33","42","null","null","30","36","null","null","10","null","17","null","170","null","141","null",
"1500000US060750207003","Block Group 3, Census Tract 207, San Francisco County, California","487","104","null","null","474","109","null","null","0","null","12","null","466","null","111","null","13","21","null","null","0","12","null","null","0","null","12","null","13","null","19","null",
"1500000US060750208001","Block Group 1, Census Tract 208, San Francisco County, California","523","130","null","null","428","105","null","null","0","null","12","null","420","null","108","null","8","13","null","null","0","12","null","null","0","null","12","null","95","null","94","null",
"1500000US060750208002","Block Group 2, Census Tract 208, San Francisco County, California","805","133","null","null","650","140","null","null","0","null","12","null","622","null","142","null","0","12","null","null","28","34","null","null","0","null","12","null","155","null","120","null",
"1500000US060750208003","Block Group 3, Census Tract 208, San Francisco County, California","668","129","null","null","535","118","null","null","8","null","14","null","527","null","118","null","6","11","null","null","0","12","null","null","12","null","18","null","121","null","103","null",
"1500000US060750208004","Block Group 4, Census Tract 208, San Francisco County, California","798","204","null","null","670","190","null","null","0","null","12","null","612","null","193","null","21","35","null","null","57","52","null","null","0","null","12","null","128","null","71","null",
"1500000US060750209001","Block Group 1, Census Tract 209, San Francisco County, California","680","107","null","null","550","112","null","null","0","null","12","null","523","null","111","null","19","22","null","null","0","12","null","null","13","null","19","null","117","null","66","null",
