"","Census.Blockgroup","Children","Elderly","NonWhite","Poverty","Education","English","Elevation","SeaLevelRise","Precipitation","Diabetes","MentalHealth","Asthma","Disability","HousingViolations","Homeless","LivAlone","FloodHealthIndex","FloodHealthIndex_Quintiles"
"341",60750166004,0.066461867,0.05499989,0.297001,0.232255535,0.96999806,0.076999846,221.406,0,0.0109472,0.064,0.1439,0.036513,0.080999838,0.00807382,0.0037988,0.33999932,45.1996,3
"342",60750158021,0.069087081,0.064000069,0.354,0.284850986,0.982999464,0.03600006,144.25,0,0.000374075,0.120979,0.230968,0.054446,0.092000002,0.00832073,0.0037988,0.523999401,45.1731,3
"343",60750326022,0.122075015,0.152000021,0.63,0.285714015,0.901000104,0.226000015,237.293,0,0.0155806,0.043,0.0828,0.028093,0.114000009,0.00235294,0.0018761,0.273000033,44.9396,3
"344",60750252002,0.189861475,0.100000274,0.508998,0.275787401,0.947003591,0.013000953,38.3029,0,0.00134385,0.139,0.3703,0.067351,0.061000218,0.0054567,0.0032195,0.256001048,44.8929,3
"345",60750126011,0.088836,0.104,0.219,0.071228,0.983,0.014,0.251743,0,0.0174946,0,0.0516,0,0.044,0.00500587,0.0003448,0.572,44.546,3
"346",60750614003,0.177955822,0.060999939,0.430001,0.200710799,0.927999072,0.045999954,58.9511,0,0.00229874,0.099082,0.145961,0.046859,0.072999927,0.00651769,0.017613,0.266999733,44.5329,3
"347",60750158022,0.069087691,0.06400064,0.353994,0.284853849,0.98300983,0.03600036,134.773,0,0.00060206,0.073398,0.158261,0.039471,0.09200092,0.00641026,0.0037988,0.52400524,44.5197,3
"348",60750329012,0.146477009,0.187000012,0.782,0.211720014,0.85400005,0.172000012,139.73,0,0.00210688,0.064,0.1072,0.02498,0.101000006,0.00251467,0.0018761,0.137000015,44.2863,3
"349",60750327007,0.142917,0.179,0.656,0.216353,0.84100009,0.179,106.287,0,0.00498019,0.043,0.0828,0.028093,0.097,0.00307574,0.0018761,0.159000079,44.2862,3
"350",60750260022,0.171402,0.161,0.746,0.277727,0.808,0.149,200.444,0,0.00165412,0.088112,0.147954,0.050985,0.099,0.00517241,0.0009378,0.156,44.2664,2
"351",60750330006,0.174831,0.159,0.644,0.225606,0.855,0.115,72.0036,0,0.00313447,0.064,0.1072,0.02498,0.079,0.00361477,0.0018761,0.23,44.2662,2
"352",60750255004,0.195810013,0.112000013,0.807,0.234190021,0.878000056,0.120000021,117.493,0,0.00596523,0.082,0.1428,0.044834,0.064000008,0.00668577,0.0005207,0.203000016,44.2529,2
"353",60750452004,0.154662,0.152,0.548,0.258678,0.892,0.183,167.661,0,0.00199451,0.032,0.0669,0.019236,0.107,0.00491898,0.0046154,0.291,44.213,2
"354",60750215003,0.148567,0.11,0.368,0.120491,0.941,0.046,88.2222,0,0.00575111,0.05996,0.162187,0.030612,0.074,0.00487988,0.0021589,0.493,44.2062,2
"355",60750227021,0.158293,0.074,0.319,0.065807,0.959,0.037,9.50746,0,0.00163307,0.099,0.1455,0.046817,0.045,0.00430321,0.017613,0.276,44.2062,2
"356",60750163003,0.079401921,0.04999995,0.544,0.313965686,0.926999073,0.021999978,92.2564,0,0,0.064165,0.144796,0.036682,0.113999886,0.00986948,0.0037988,0.392999607,44.1864,2
"357",60750402001,0.117191702,0.145999614,0.511001,0.161559605,0.896997617,0.079999823,161.222,0,0.0123182,0.03195,0.066795,0.019206,0.083999785,0.00331675,0.0037041,0.400998897,43.8862,2
"358",60750169002,0.052191,0.088,0.299,0.210438,0.952,0.012,116.671,0,0.00200399,0.059006,0.054504,0.030763,0.109,0.00690691,0.0021589,0.452,43.8663,2
"359",60750227042,0.098069,0.117,0.308,0.093241,0.987,0.015,70.6701,0,0.00101342,0.099787,0.149924,0.047221,0.076,0.00417973,0.017613,0.39,43.8663,2
"360",60750207003,0.077391,0.077,0.308,0.163074,0.981,0.053,60.4752,0,0,0.139,0.3703,0.067351,0.065,0.0133176,0.0021589,0.398,43.8597,2
"361",60750402003,0.117191914,0.145999877,0.511,0.161559863,0.896999239,0.079999933,135.093,0,0.00332105,0.032,0.0669,0.019236,0.08399993,0.00613825,0.0046154,0.40099964,43.8596,2
"362",60750351001,0.161643838,0.170999829,0.675,0.209018791,0.870999275,0.102999897,67.5053,0,0.00365212,0.043,0.0828,0.028093,0.078999921,0.00256849,0.0018761,0.24799988,43.5995,2
"363",60750132002,0.128434743,0.23499953,0.197002,0.071504857,0.993998012,0.01499997,76.6596,0,0.00282644,0.068062,0.152512,0.03063,0.068999862,0.00340136,0.0003448,0.46999906,43.5729,2
